"","006A+0292","0071+0020","0071+0021","aatec+0403","aware+0311","cogent+0510","Decatur+0102","Decatur+0104","dermalog+0006","gemalto+0108","genkey+0900","griaule+0108","griaule+0109","hongda+0007","id3tech+1252","imagid+0004","imagid+0010","innovatrics+001C","innovatrics+001D","Neurotechnology+010B","Neurotechnology+0206","sonda+0119","Tech5+0103","pooled"
"Decatur+0102","0.0037 +/- 0.0001","0.00112 +/- 0.00008","0.00113 +/- 0.00008","0.0033 +/- 0.0001","0.00110 +/- 0.00007","0.00011 +/- 0.00002","0.00016 +/- 0.00003","0.00054 +/- 0.00005","0.00111 +/- 0.00007","0.0037 +/- 0.0001","0.0023 +/- 0.0001","0.00139 +/- 0.00008","0.00139 +/- 0.00008","0.0033 +/- 0.0001","0.0024 +/- 0.0001","0.00176 +/- 0.00009","0.00188 +/- 0.00010","0.00005 +/- 0.00002","0.00055 +/- 0.00005","0.00027 +/- 0.00004","0.0031 +/- 0.0001","0.00078 +/- 0.00006","0.00076 +/- 0.00006","0.00146 +/- 0.00009"
"Decatur+0104","0.0037 +/- 0.0001","0.00114 +/- 0.00008","0.00111 +/- 0.00007","0.0034 +/- 0.0001","0.00109 +/- 0.00007","0.00010 +/- 0.00002","0.00015 +/- 0.00003","0.00061 +/- 0.00006","0.00109 +/- 0.00007","0.0037 +/- 0.0001","0.0023 +/- 0.0001","0.00144 +/- 0.00009","0.00145 +/- 0.00009","0.0033 +/- 0.0001","0.0023 +/- 0.0001","0.00169 +/- 0.00009","0.00185 +/- 0.00010","0.00005 +/- 0.00002","0.00052 +/- 0.00005","0.00026 +/- 0.00004","0.0031 +/- 0.0001","0.00075 +/- 0.00006","0.00075 +/- 0.00006","0.00145 +/- 0.00009"
"dermalog+0006","0.00071 +/- 0.00006","0.00039 +/- 0.00004","0.00040 +/- 0.00005","0.00044 +/- 0.00005","0.00072 +/- 0.00006","0.00010 +/- 0.00002","0.00123 +/- 0.00008","0.00173 +/- 0.00009","0.00028 +/- 0.00004","0.00148 +/- 0.00009","0.00175 +/- 0.00009","0.00135 +/- 0.00008","0.00135 +/- 0.00008","0.00107 +/- 0.00007","0.00137 +/- 0.00008","0.00033 +/- 0.00004","0.00031 +/- 0.00004","0.00007 +/- 0.00002","0.00021 +/- 0.00003","0.00010 +/- 0.00002","0.00086 +/- 0.00007","0.00082 +/- 0.00006","0.00083 +/- 0.00007","0.00067 +/- 0.00006"
"futronic+000A","0.0032 +/- 0.0001","0.00116 +/- 0.00008","0.00114 +/- 0.00008","0.0025 +/- 0.0001","0.00117 +/- 0.00008","0.00025 +/- 0.00004","0.00081 +/- 0.00006","0.00117 +/- 0.00008","0.00092 +/- 0.00007","0.0032 +/- 0.0001","0.0037 +/- 0.0001","0.00151 +/- 0.00009","0.00152 +/- 0.00009","0.0076 +/- 0.0002","0.00126 +/- 0.00008","0.00183 +/- 0.00010","0.00188 +/- 0.00010","0.00010 +/- 0.00002","0.00039 +/- 0.00004","0.00013 +/- 0.00003","0.00163 +/- 0.00009","0.00109 +/- 0.00007","0.00112 +/- 0.00008","0.00166 +/- 0.00009"
"gemalto+0108","0.00074 +/- 0.00006","0.00034 +/- 0.00004","0.00032 +/- 0.00004","0.00049 +/- 0.00005","0.00039 +/- 0.00004","0.000008 +/- 0.000007","0.00054 +/- 0.00005","0.00103 +/- 0.00007","0.00024 +/- 0.00003","0.00081 +/- 0.00006","0.00130 +/- 0.00008","0.00079 +/- 0.00006","0.00079 +/- 0.00006","0.00112 +/- 0.00008","0.00087 +/- 0.00007","0.00032 +/- 0.00004","0.00033 +/- 0.00004","0.00004 +/- 0.00001","0.00018 +/- 0.00003","0.00005 +/- 0.00002","0.00056 +/- 0.00005","0.00047 +/- 0.00005","0.00048 +/- 0.00005","0.00047 +/- 0.00005"
"genkey+0900","0.00133 +/- 0.00008","0.00063 +/- 0.00006","0.00064 +/- 0.00006","0.00081 +/- 0.00006","0.00049 +/- 0.00005","0.00006 +/- 0.00002","0.00051 +/- 0.00005","0.00138 +/- 0.00008","0.00039 +/- 0.00004","0.00093 +/- 0.00007","0.00081 +/- 0.00006","0.00108 +/- 0.00007","0.00109 +/- 0.00007","0.00114 +/- 0.00008","0.00092 +/- 0.00007","0.00063 +/- 0.00006","0.00064 +/- 0.00006","0.00010 +/- 0.00002","0.00033 +/- 0.00004","0.00004 +/- 0.00001","0.00071 +/- 0.00006","0.00039 +/- 0.00004","0.00039 +/- 0.00004","0.00061 +/- 0.00006"
"griaule+0108","0.00133 +/- 0.00008","0.00046 +/- 0.00005","0.00046 +/- 0.00005","0.00096 +/- 0.00007","0.00055 +/- 0.00005","0.00009 +/- 0.00002","0.00098 +/- 0.00007","0.00166 +/- 0.00009","0.00043 +/- 0.00005","0.00127 +/- 0.00008","0.0021 +/- 0.0001","0.00083 +/- 0.00007","0.00083 +/- 0.00007","0.0030 +/- 0.0001","0.00088 +/- 0.00007","0.00073 +/- 0.00006","0.00069 +/- 0.00006","0.00005 +/- 0.00002","0.00030 +/- 0.00004","0.00005 +/- 0.00002","0.00073 +/- 0.00006","0.00075 +/- 0.00006","0.00079 +/- 0.00006","0.00081 +/- 0.00006"
"griaule+0109","0.00132 +/- 0.00008","0.00046 +/- 0.00005","0.00046 +/- 0.00005","0.00097 +/- 0.00007","0.00056 +/- 0.00005","0.00009 +/- 0.00002","0.00085 +/- 0.00007","0.00143 +/- 0.00009","0.00045 +/- 0.00005","0.00127 +/- 0.00008","0.0021 +/- 0.0001","0.00084 +/- 0.00007","0.00084 +/- 0.00007","0.0031 +/- 0.0001","0.00088 +/- 0.00007","0.00071 +/- 0.00006","0.00070 +/- 0.00006","0.00005 +/- 0.00002","0.00029 +/- 0.00004","0.00005 +/- 0.00002","0.00073 +/- 0.00006","0.00073 +/- 0.00006","0.00076 +/- 0.00006","0.00080 +/- 0.00006"
"hongda+0007","0.00078 +/- 0.00006","0.00061 +/- 0.00006","0.00062 +/- 0.00006","0.00040 +/- 0.00004","0.00080 +/- 0.00006","0.00011 +/- 0.00002","0.00059 +/- 0.00005","0.00137 +/- 0.00008","0.00035 +/- 0.00004","0.00120 +/- 0.00008","0.00144 +/- 0.00009","0.00150 +/- 0.00009","0.00150 +/- 0.00009","0.00066 +/- 0.00006","0.00169 +/- 0.00009","0.00028 +/- 0.00004","0.00029 +/- 0.00004","0.00008 +/- 0.00002","0.00034 +/- 0.00004","0.00007 +/- 0.00002","0.00107 +/- 0.00007","0.00062 +/- 0.00006","0.00063 +/- 0.00006","0.00063 +/- 0.00006"
"id3tech+1252","0.00100 +/- 0.00007","0.00042 +/- 0.00005","0.00040 +/- 0.00005","0.00063 +/- 0.00006","0.00032 +/- 0.00004","0.00007 +/- 0.00002","0.00083 +/- 0.00006","0.00134 +/- 0.00008","0.00032 +/- 0.00004","0.00096 +/- 0.00007","0.00159 +/- 0.00009","0.00074 +/- 0.00006","0.00074 +/- 0.00006","0.0023 +/- 0.0001","0.00050 +/- 0.00005","0.00046 +/- 0.00005","0.00044 +/- 0.00005","0.00005 +/- 0.00002","0.00021 +/- 0.00003","0.00003 +/- 0.00001","0.00052 +/- 0.00005","0.00062 +/- 0.00006","0.00065 +/- 0.00006","0.00061 +/- 0.00006"
"imagid+0004","0.00040 +/- 0.00004","0.00037 +/- 0.00004","0.00037 +/- 0.00004","0.00019 +/- 0.00003","0.00047 +/- 0.00005","0.00005 +/- 0.00002","0.00073 +/- 0.00006","0.00137 +/- 0.00008","0.00024 +/- 0.00003","0.00090 +/- 0.00007","0.00143 +/- 0.00009","0.00082 +/- 0.00006","0.00081 +/- 0.00006","0.00092 +/- 0.00007","0.00084 +/- 0.00007","0.00013 +/- 0.00003","0.00013 +/- 0.00003","0.00006 +/- 0.00002","0.00018 +/- 0.00003","0.00003 +/- 0.00001","0.00056 +/- 0.00005","0.00060 +/- 0.00006","0.00062 +/- 0.00006","0.00044 +/- 0.00005"
"imagid+0010","0.00040 +/- 0.00004","0.00037 +/- 0.00004","0.00037 +/- 0.00004","0.00019 +/- 0.00003","0.00047 +/- 0.00005","0.00005 +/- 0.00002","0.00072 +/- 0.00006","0.00137 +/- 0.00008","0.00023 +/- 0.00003","0.00090 +/- 0.00007","0.00143 +/- 0.00009","0.00082 +/- 0.00006","0.00082 +/- 0.00006","0.00092 +/- 0.00007","0.00084 +/- 0.00007","0.00013 +/- 0.00003","0.00014 +/- 0.00003","0.00007 +/- 0.00002","0.00018 +/- 0.00003","0.00003 +/- 0.00001","0.00056 +/- 0.00005","0.00059 +/- 0.00005","0.00062 +/- 0.00006","0.00044 +/- 0.00005"
"inesc+0016","0.0035 +/- 0.0001","0.00087 +/- 0.00007","0.00089 +/- 0.00007","0.0026 +/- 0.0001","0.00065 +/- 0.00006","0.00015 +/- 0.00003","0.00062 +/- 0.00006","0.00150 +/- 0.00009","0.00110 +/- 0.00007","0.0033 +/- 0.0001","0.0032 +/- 0.0001","0.00129 +/- 0.00008","0.00128 +/- 0.00008","0.0050 +/- 0.0002","0.0021 +/- 0.0001","0.00190 +/- 0.00010","0.00189 +/- 0.00010","0.00010 +/- 0.00002","0.00061 +/- 0.00006","0.00018 +/- 0.00003","0.0027 +/- 0.0001","0.00107 +/- 0.00007","0.00110 +/- 0.00007","0.00151 +/- 0.00009"
"innovatrics+001C","0.00099 +/- 0.00007","0.00033 +/- 0.00004","0.00031 +/- 0.00004","0.00073 +/- 0.00006","0.00060 +/- 0.00006","0.00010 +/- 0.00002","0.00089 +/- 0.00007","0.00146 +/- 0.00009","0.00028 +/- 0.00004","0.00142 +/- 0.00008","0.00172 +/- 0.00009","0.00102 +/- 0.00007","0.00101 +/- 0.00007","0.00171 +/- 0.00009","0.00103 +/- 0.00007","0.00054 +/- 0.00005","0.00052 +/- 0.00005","0.00004 +/- 0.00001","0.00020 +/- 0.00003","0.00009 +/- 0.00002","0.00070 +/- 0.00006","0.00084 +/- 0.00007","0.00086 +/- 0.00007","0.00068 +/- 0.00006"
"innovatrics+001D","0.00062 +/- 0.00006","0.00026 +/- 0.00004","0.00026 +/- 0.00004","0.00035 +/- 0.00004","0.00024 +/- 0.00004","0.00004 +/- 0.00001","0.00052 +/- 0.00005","0.00097 +/- 0.00007","0.00018 +/- 0.00003","0.00073 +/- 0.00006","0.00122 +/- 0.00008","0.00057 +/- 0.00005","0.00057 +/- 0.00005","0.00109 +/- 0.00007","0.00052 +/- 0.00005","0.00028 +/- 0.00004","0.00026 +/- 0.00004","0.00003 +/- 0.00001","0.00013 +/- 0.00003","0.000017 +/- 0.000010","0.00036 +/- 0.00004","0.00050 +/- 0.00005","0.00050 +/- 0.00005","0.00039 +/- 0.00004"
"liquid+0107","0.0027 +/- 0.0001","0.00120 +/- 0.00008","0.00117 +/- 0.00008","0.0020 +/- 0.0001","0.00121 +/- 0.00008","0.00026 +/- 0.00004","0.0020 +/- 0.0001","0.0020 +/- 0.0001","0.00103 +/- 0.00007","0.0025 +/- 0.0001","0.0038 +/- 0.0001","0.00133 +/- 0.00008","0.00133 +/- 0.00008","0.0095 +/- 0.0002","0.00117 +/- 0.00008","0.00125 +/- 0.00008","0.00121 +/- 0.00008","0.00014 +/- 0.00003","0.00051 +/- 0.00005","0.00013 +/- 0.00003","0.00165 +/- 0.00009","0.00176 +/- 0.00009","0.00188 +/- 0.00010","0.00187 +/- 0.00010"
"Neurotechnology+010B","0.00046 +/- 0.00005","0.00029 +/- 0.00004","0.00026 +/- 0.00004","0.00023 +/- 0.00003","0.00025 +/- 0.00004","0.00002 +/- 0.00001","0.00068 +/- 0.00006","0.00115 +/- 0.00008","0.00017 +/- 0.00003","0.00059 +/- 0.00005","0.00106 +/- 0.00007","0.00049 +/- 0.00005","0.00049 +/- 0.00005","0.00114 +/- 0.00008","0.00046 +/- 0.00005","0.00017 +/- 0.00003","0.00016 +/- 0.00003","0.00003 +/- 0.00001","0.00009 +/- 0.00002","0.000011 +/- 0.000008","0.00028 +/- 0.00004","0.00042 +/- 0.00005","0.00045 +/- 0.00005","0.00035 +/- 0.00004"
"Neurotechnology+0206","0.00044 +/- 0.00005","0.00027 +/- 0.00004","0.00027 +/- 0.00004","0.00026 +/- 0.00004","0.00025 +/- 0.00004","0.00003 +/- 0.00001","0.00068 +/- 0.00006","0.00111 +/- 0.00008","0.00019 +/- 0.00003","0.00061 +/- 0.00006","0.00110 +/- 0.00007","0.00047 +/- 0.00005","0.00046 +/- 0.00005","0.00116 +/- 0.00008","0.00045 +/- 0.00005","0.00019 +/- 0.00003","0.00019 +/- 0.00003","0.00003 +/- 0.00001","0.00010 +/- 0.00002","0.000011 +/- 0.000008","0.00028 +/- 0.00004","0.00044 +/- 0.00005","0.00046 +/- 0.00005","0.00036 +/- 0.00004"
"secugen+0037","0.0023 +/- 0.0001","0.00088 +/- 0.00007","0.00091 +/- 0.00007","0.00186 +/- 0.00010","0.00137 +/- 0.00008","0.00029 +/- 0.00004","0.00137 +/- 0.00008","0.0023 +/- 0.0001","0.00077 +/- 0.00006","0.0026 +/- 0.0001","0.0038 +/- 0.0001","0.0023 +/- 0.0001","0.0023 +/- 0.0001","0.0034 +/- 0.0001","0.0024 +/- 0.0001","0.00149 +/- 0.00009","0.00148 +/- 0.00009","0.00018 +/- 0.00003","0.00065 +/- 0.00006","0.00036 +/- 0.00004","0.00190 +/- 0.00010","0.00151 +/- 0.00009","0.00157 +/- 0.00009","0.00151 +/- 0.00009"
"sonda+0119","0.00096 +/- 0.00007","0.00063 +/- 0.00006","0.00062 +/- 0.00006","0.00050 +/- 0.00005","0.00061 +/- 0.00006","0.00006 +/- 0.00002","0.00052 +/- 0.00005","0.00110 +/- 0.00007","0.00024 +/- 0.00003","0.00088 +/- 0.00007","0.00115 +/- 0.00008","0.00112 +/- 0.00008","0.00113 +/- 0.00008","0.00096 +/- 0.00007","0.00104 +/- 0.00007","0.00030 +/- 0.00004","0.00037 +/- 0.00004","0.00008 +/- 0.00002","0.00020 +/- 0.00003","0.00003 +/- 0.00001","0.00068 +/- 0.00006","0.00036 +/- 0.00004","0.00036 +/- 0.00004","0.00053 +/- 0.00005"
"startek+0009","0.0020 +/- 0.0001","0.00054 +/- 0.00005","0.00052 +/- 0.00005","0.00160 +/- 0.00009","0.00055 +/- 0.00005","0.00009 +/- 0.00002","0.00058 +/- 0.00005","0.00130 +/- 0.00008","0.00055 +/- 0.00005","0.00170 +/- 0.00009","0.00192 +/- 0.00010","0.00123 +/- 0.00008","0.00122 +/- 0.00008","0.0030 +/- 0.0001","0.00135 +/- 0.00008","0.00110 +/- 0.00007","0.00111 +/- 0.00007","0.00006 +/- 0.00002","0.00044 +/- 0.00005","0.00008 +/- 0.00002","0.00134 +/- 0.00008","0.00077 +/- 0.00006","0.00079 +/- 0.00006","0.00098 +/- 0.00007"
"SupremaUFCore+2022","0.0021 +/- 0.0001","0.00077 +/- 0.00006","0.00082 +/- 0.00006","0.00170 +/- 0.00009","0.00113 +/- 0.00008","0.00015 +/- 0.00003","0.00119 +/- 0.00008","0.0022 +/- 0.0001","0.00083 +/- 0.00006","0.0024 +/- 0.0001","0.0035 +/- 0.0001","0.00148 +/- 0.00009","0.00148 +/- 0.00009","0.0038 +/- 0.0001","0.00162 +/- 0.00009","0.00136 +/- 0.00008","0.00131 +/- 0.00008","0.00023 +/- 0.00003","0.00057 +/- 0.00005","0.00027 +/- 0.00004","0.00154 +/- 0.00009","0.00116 +/- 0.00008","0.00120 +/- 0.00008","0.00129 +/- 0.00008"
"Tech5+0103","0.00096 +/- 0.00007","0.00064 +/- 0.00006","0.00062 +/- 0.00006","0.00049 +/- 0.00005","0.00062 +/- 0.00006","0.00006 +/- 0.00002","0.00050 +/- 0.00005","0.00109 +/- 0.00007","0.00024 +/- 0.00004","0.00088 +/- 0.00007","0.00115 +/- 0.00008","0.00114 +/- 0.00008","0.00113 +/- 0.00008","0.00094 +/- 0.00007","0.00104 +/- 0.00007","0.00032 +/- 0.00004","0.00038 +/- 0.00004","0.00008 +/- 0.00002","0.00020 +/- 0.00003","0.00003 +/- 0.00001","0.00068 +/- 0.00006","0.00036 +/- 0.00004","0.00036 +/- 0.00004","0.00053 +/- 0.00005"
"pooled","0.00174 +/- 0.00009","0.00073 +/- 0.00006","0.00073 +/- 0.00006","0.00130 +/- 0.00008","0.00076 +/- 0.00006","0.00014 +/- 0.00003","0.00095 +/- 0.00007","0.00159 +/- 0.00009","0.00059 +/- 0.00005","0.00176 +/- 0.00009","0.0023 +/- 0.0001","0.00128 +/- 0.00008","0.00128 +/- 0.00008","0.0030 +/- 0.0001","0.00141 +/- 0.00008","0.00091 +/- 0.00007","0.00092 +/- 0.00007","0.00010 +/- 0.00002","0.00037 +/- 0.00004","0.00013 +/- 0.00003","0.00127 +/- 0.00008","0.00090 +/- 0.00007","0.00093 +/- 0.00007",""
